latitude,longitude,tests
25.3461 , 55.421,1
32.87935163718672 , 9.550842754593125,1
32.8822047 , 10.4984132,1
32.93533206895384 , 10.450940544951676,1
32.94727421151286 , 10.454582440011011,1
33.1024539 , 10.3133067,2
33.1517138 , 11.219273,1
33.3399221 , 10.4958678,2
33.3479936 , 10.4792064,3
33.348535 , 10.4938891,1
33.34873917256813 , 10.487170106619418,1
33.3494618 , 10.4926776,1
33.3500185 , 10.4920353,1
33.3503986 , 10.4923152,2
33.3508829 , 8.7482063,5
33.3537227 , 10.5042292,1
33.3544144 , 10.4789843,1
33.3592465 , 10.4701065,1
33.4397031 , 10.2097277,1
33.4442421 , 8.9217747,1
33.44721684608987 , 9.127891646408827,1
33.5041035 , 11.0881494,2
33.6165875 , 10.2835156,1
33.6178271 , 10.2788581,1
33.6652857 , 10.0163892,2
33.69331878849938 , 10.107679834809472,1
33.69762433903292 , 8.9844117747018,1
33.708611193847474 , 10.86636264902649,1
33.7291451 , 10.8705891,1
33.7642096 , 10.0583451,1
33.7754967 , 10.8959568,1
33.77899980000001 , 8.8404104,3
33.7821166 , 10.82629,1
33.78479574388675 , 10.79224962762349,1
33.78492974060866 , 11.002469947927906,1
33.78571139421349 , 11.042348768674136,1
33.78825166248714 , 10.929444425516962,1
33.806126 , 10.0691744,1
33.8064404 , 10.8597829,1
33.8075978 , 10.8451467,1
33.8079727 , 10.9900557,1
33.8115848 , 10.987461,1
33.81392431958967 , 10.09347456249999,1
33.816054920744655 , 10.848235379698975,1
33.8201301 , 10.9213719,1
33.8309604 , 10.8692553,1
33.84646249140759 , 10.103164664648995,1
33.8474708 , 10.0027718,1
33.8540441 , 10.0922067,1
33.860136191799874 , 10.869791628892939,1
33.86323 , 10.8020605,1
33.8649375 , 10.8294375,6
33.8686418 , 10.1010932,2
33.8708747 , 7.8789737,4
33.87116 , 10.0948667,1
33.8758082699553 , 10.854900549835666,1
33.8759692 , 10.0990357,3
33.87621945249911 , 9.694180952754378,1
33.8765342 , 10.85775,1
33.8769478 , 10.8298846,1
33.8772922 , 10.836681,1
33.8774374 , 10.8317127,1
33.8775248 , 10.0996722,1
33.8786007 , 10.0986871,1
33.8786076 , 10.8354465,1
33.878654149701305 , 10.09868740982171,1
33.878701 , 10.0986499,1
33.8787068317805 , 10.098709079762273,1
33.87873209155563 , 10.098619564418016,1
33.87874050373135 , 10.098694141242971,1
33.878758 , 10.0986244,1
33.8787597 , 10.0986216,1
33.879516 , 10.0979621,1
33.879796 , 10.0639407,1
33.8817989 , 10.0919977,1
33.88195265375611 , 10.058474999240085,1
33.8853888 , 10.8331008,1
33.8861678 , 10.1025817,1
33.886917 , 9.537499,1
33.888077 , 10.0975221,4
33.89036919999999 , 10.7509841,4
33.8991196 , 10.0975221,1
33.918534 , 8.1229329,1
33.9220422 , 8.1332077,2
33.9353318 , 8.1114654,1
33.9396101 , 8.1432092,2
33.9811623 , 9.972112700000002,1
33.9813174 , 8.2096367,1
33.9873128 , 9.9807197,1
34.0341395 , 8.338962,1
34.1873514836588 , 9.65951460156249,1
34.23641231054495 , 10.790740360725989,1
34.24090813254057 , 9.508589160220987,1
34.2974898 , 10.0788157,1
34.3405337 , 8.9445228,1
34.3801856 , 8.1526784,1
34.3844424 , 8.153955999999999,2
34.3919211 , 8.8107431,1
34.3992125 , 8.813140599999999,1
34.4029133 , 8.804581899999999,1
34.409075 , 8.7976183,1
34.409084994755965 , 8.797728805406381,1
34.4091266 , 8.7756556,1
34.4095868 , 8.7972065,1
34.4259189 , 8.7970005,1
34.4272467 , 8.819963999999999,1
34.4297748 , 8.7563773,2
34.4311398 , 8.7756556,3
34.438612200604 , 10.156269432275916,1
34.4876517 , 8.277299,1
34.4884325 , 8.2690688,1
34.4900942 , 8.2660532,1
34.52296822904907 , 10.501121976706967,1
34.53920654255696 , 9.251617543292037,1
34.5400696 , 9.2555199,2
34.5404386 , 9.2573402,1
34.5410151 , 9.2572125,1
34.541252 , 9.2583044,1
34.5412975 , 9.2577172,1
34.5414691 , 9.2596767,1
34.5416804 , 9.2614087,1
34.5593859 , 8.902460300000001,1
34.5668906 , 9.3556122,1
34.5773859 , 9.8431866,1
34.58641345738491 , 10.148736722406015,1
34.62583891361063 , 10.116236292040739,1
34.66642119999999 , 8.4609272,1
34.66978393949167 , 11.126127519057388,1
34.68114755395536 , 10.555693476331841,1
34.69137226693877 , 10.06972660523864,1
34.7144607 , 10.7259248,1
34.7146125 , 9.490640599999999,1
34.7207641 , 10.7223088,1
34.7207647 , 10.7223011,1
34.7219581 , 11.156696,1
34.7234163 , 10.7195237,1
34.7256489 , 10.7329534,1
34.7265253 , 10.7295146,1
34.7319125 , 10.7031406,2
34.7321588 , 10.7096802,1
34.7321616 , 10.7096708,1
34.7329459 , 10.7572669,1
34.733716332813074 , 10.737406193268137,1
34.7382354 , 10.7454132,1
34.7384573 , 10.702742,1
34.739822 , 10.7600196,4
34.7428876 , 10.7605239,4
34.74353515880401 , 10.76334747942384,1
34.7488433 , 10.7626385,4
34.7516959 , 10.7612762,1
34.7519061 , 10.7673043,1
34.7533807 , 10.7118222,3
34.7549605 , 10.7764918,1
34.7558178 , 10.783301,1
34.7574302 , 10.790198,1
34.7589724 , 10.76952,1
34.7592846 , 10.7450179,1
34.7606601 , 10.7904391,1
34.761162553940736 , 10.732222071533206,1
34.7652517 , 10.7288318,2
34.7655006 , 10.725119,1
34.76617999059198 , 10.763440522840373,1
34.7663366 , 10.7235861,1
34.7671137 , 10.7233054,1
34.7684174 , 10.7214731,1
34.7692582 , 10.7210065,1
34.7702252 , 10.719373,2
34.77244520652863 , 10.67015670782895,1
34.77370822584594 , 10.687352647964968,1
34.77477477477478 , 10.704636690893146,1
34.7764879 , 10.815281,1
34.7780023 , 10.7261964,1
34.7790782 , 10.7846477,1
34.7854149 , 10.7236625,1
34.78905280178658 , 10.712236042354574,1
34.789149724324375 , 10.795762713287344,1
34.7898941 , 10.7806949,1
34.7905761 , 10.7154228,1
34.7912678 , 10.6979871,1
34.7925147 , 10.7160513,1
34.7932835 , 10.7433073,1
34.795474 , 10.7830826,1
34.7964786 , 10.7459648,1
34.79853155247308 , 10.838053235634446,1
34.7991867 , 10.8382759,1
34.8048317 , 10.7146809,1
34.813425 , 10.6421799,1
34.8143566 , 10.790801,1
34.8220625 , 10.7718281,1
34.8233115 , 10.7927997,1
34.8282896 , 10.7507246,1
34.8513062 , 9.1428479,1
34.8604288 , 9.783396,1
34.8644273 , 9.7939189,1
34.8680285 , 10.7600526,1
34.887098883301604 , 10.604065679557996,1
34.8998125 , 8.5361875,1
34.9291549 , 10.8733712,1
34.9399447 , 8.5666077,1
34.9405785 , 8.581885999999999,2
34.9463397 , 8.5651235,1
34.9464129 , 8.565057,1
34.9806394 , 9.3336666,1
34.9877071 , 10.3947116,1
35.0239295 , 9.465385,1
35.0318735 , 9.7344154,2
35.0354386 , 9.4839392,7
35.0414375 , 9.4711875,6
35.0443275 , 9.4995394,1
35.0443302 , 9.4995139,1
35.0443394 , 9.4995249,1
35.0515845 , 10.9678863,2
35.0819941 , 9.8724948,2
35.17227159999999 , 8.8307626,2
35.1723448 , 8.8306917,1
35.17656324736481 , 8.807628894237508,1
35.17660400132045 , 8.807731188080664,1
35.1800375 , 8.848984399999999,1
35.1890378 , 8.8252502,2
35.1910335 , 10.1815316,1
35.19903152585692 , 10.04952924999999,1
35.2424168 , 11.1340088,1
35.2849487 , 10.386287,1
35.28716421078027 , 10.385426711463891,1
35.3020935 , 10.9270207,1
35.3078125 , 10.7015781,1
35.3143625 , 10.6098906,1
35.3227561 , 10.7743404,1
35.3783693 , 10.9343069,1
35.37957318845881 , 10.929508383605947,1
35.4013051 , 11.0362429,1
35.4480224 , 10.8268053,1
35.462665676846775 , 11.044953149171079,1
35.4702844 , 10.637123,1
35.4703361 , 10.8884774,1
35.49086342795842 , 10.827912115104871,1
35.5068585 , 11.0352344,3
35.506904 , 11.0508577,1
35.5112612 , 11.0334987,1
35.5126002 , 11.0496963,2
35.513897920951614 , 10.422083517967593,1
35.51425855591462 , 11.030446921478942,1
35.5145305 , 11.0308481,1
35.5145441 , 11.0308458,2
35.51914991080071 , 11.032198178865968,1
35.5194998 , 11.0358632,1
35.5195912515339 , 11.035780092488544,1
35.5441969 , 9.0663774,1
35.5442393 , 9.066324,4
35.5671775 , 10.8079432,1
35.5687263 , 9.7708971,1
35.58303799999999 , 8.667192,1
35.6115084 , 10.755496,1
35.6180319 , 10.6638298,1
35.622271504887046 , 10.786407543066412,1
35.62367129094102 , 10.768200333450308,1
35.62435807018617 , 10.768117184970846,1
35.6245041 , 10.7585984,7
35.62784339162042 , 10.88232440466224,1
35.6304117 , 10.7337676,1
35.633964 , 10.078172,1
35.6367210765168 , 9.676055038994441,1
35.6371854 , 9.675904,1
35.6401578 , 10.8905582,1
35.64077791584058 , 10.95827390598278,1
35.64279434249651 , 10.89023616119864,1
35.64294017852949 , 10.889987099897269,1
35.64561283467665 , 10.878848357976528,1
35.6487933 , 10.9599467,1
35.6548608 , 10.092544,1
35.6644545 , 10.0810115,1
35.6654475 , 10.8592579,1
35.6657909 , 10.8685703,1
35.66804742331882 , 10.881082572920608,1
35.6711663 , 10.1005469,3
35.6721533 , 10.1064443,2
35.6725246 , 10.102167,2
35.67622083100499 , 10.109157282020522,1
35.67622689528603 , 10.109161280979833,1
35.677463 , 10.8774291,1
35.6819711 , 10.766163,1
35.6828103 , 10.83845,1
35.6885464 , 10.8420859,1
